LID,Glottocode,Language,NPStructureID,NPStructureExample,NPStructureType,NPStructureMarkingAssignmentType,NPStructureMarkingType,NPStructureIsOvertlyMarked,NPStructureMarkerID,NPStructureAgreementCategory,NPStructureAgreementMacrocategory,NPStructureWordOrder,NPStructureHasAlienability,NPStructureAlienabilityType,NPStructureDependentPoSConstraints,NPStructureDependentSemConstraints,NPStructureDependentSemConstraintsBinned,NPStructureHeadlessness,NPStructureHeadSemConstraints,NPStructureHeadSemConstraintsBinned,NPStructureHeadAdditionalConstraintsNotes
133,kiri1256,Kirikiri,135,,,,,,,,,Dependent-Head,TRUE,inalienable,,,,,kin terms,kin,
133,kiri1256,Kirikiri,135,,,,,,,,,Dependent-Head,TRUE,inalienable,,,,,body parts,parts,
134,nort2930,Kiwai,138,mere abere (child father) ‘child’s father’; mo overa (1sg word) ‘my word’  (p. 14),Juxtaposition,,juxtaposition,FALSE,,,,Dependent-Head,,,N_or_Pro,,,,,,
134,nort2930,Kiwai,139,ni oroboro nou uramu (this woman s/he husband) ‘this woman’s husband’ (p. 14); similar example with ‘house’,Dep-driven agreement,agreement/class marker,,TRUE,173,,,Dependent-Head,,,,,,,,,
136,kobo1249,Kobon,140,"kaj yad  (pig 1s) ‘my pig’ (94, ex. (232a))  <RV",Juxtaposition,,juxtaposition,FALSE,,,,,TRUE,alienable,N_or_Pro,,,,neutral,neutral,
136,kobo1249,Kobon,141,"pp. 94, 109, 11494:  mam yad  (brother 1s) ‘my brother’;namam na (2-brother  2s) ‘your brother’",Dep-driven agreement,agreement/class marker,,TRUE,,,,,TRUE,inalienable,N_or_Pro,,,,kin terms,kin,
138,komb1274,Kombai,144,na-biyo  (1s-coconut) ‘my coconut’  (cf.  nu ‘I’)  (162),Dep-driven agreement,agreement/class marker,,TRUE,174,,,,,,Pro,,,,,,
138,komb1274,Kombai,143,el-o lu (bird-CONNECTIVE voice) ‘the voice of the bird’ (177),Governed,government,,TRUE,175,,,,,,N,,,,,,
191,siwa1245,Motuna,198,"240, 241, 519, 224, 237",Governed,government,,TRUE,176,,,,TRUE,alienable,Pro,,,,neutral,neutral,
191,siwa1245,Motuna,200,"240, 241, 519, 224, 237, 247-8.",Governed,government,,TRUE,177,,,Dependent-Head,TRUE,alienable,N,,,,neutral,neutral,
191,siwa1245,Motuna,199,,Dep-driven agreement,agreement/class marker,,TRUE,178,,,Dependent-Head,TRUE,inalienable,,,,,kin terms,kin,"More precisely, this is non-reciprocal kin terms."
212,nucl1633,Nimboran,221,168,,,,,179,,,,TRUE,alienable,Pro,,,,neutral,neutral,
212,nucl1633,Nimboran,220,,,,,,,,,,TRUE,alienable,N,,,,neutral,neutral,
212,nucl1633,Nimboran,222,,,,,,180,,,,TRUE,inalienable,,,,,kin terms,kin,
343,sahu1245,Sahu,250,"ngo meme Kona ami wala (art.FEM mother K. her[.POSS] house) ‘mother K.’s house’ (p. 53), ami wala ‘her house’, (ngoi) ari wala ((1sg) 1sg.POSS house) ‘my house’ (lit. ‘me my house’)",,,,,181,,,,,,N_or_Pro,,,,,,
345,salt1242,Salt-Yui,251,"pp. 28-9, 41",Juxtaposition,,juxtaposition,FALSE,,,,,TRUE,alienable,N_or_Pro,,,,neutral,neutral,
345,salt1242,Salt-Yui,253,pp. 28-9,Dep-driven agreement,agreement/class marker,,TRUE,182,,,,TRUE,inalienable,,,,,kin terms,kin,‘house’
345,salt1242,Salt-Yui,253,pp. 28-9,Dep-driven agreement,agreement/class marker,,TRUE,182,,,,TRUE,inalienable,,,,,body parts,parts,‘house’
345,salt1242,Salt-Yui,253,pp. 28-9,Dep-driven agreement,agreement/class marker,,TRUE,182,,,,TRUE,inalienable,,,,,property,kinds,‘house’
345,salt1242,Salt-Yui,252,pp. 28-9,Dep-driven agreement,agreement/class marker,,TRUE,183,,,,TRUE,inalienable,,,,,kin terms,kin,‘water’
345,salt1242,Salt-Yui,252,pp. 28-9,Dep-driven agreement,agreement/class marker,,TRUE,183,,,,TRUE,inalienable,,,,,animals,kinds,‘water’
350,nucl1632,Sentani,259,joku falEm (dog head) ‘dog’s head’ (57) (E = schwa); andofolo ífa (chief canoe) ‘chief’s canoe’,,,,,,,,Dependent-Head,,,N,,,,,,
350,nucl1632,Sentani,260,joku le falEm ‘the dog’s head’ (cf. prev. record); ne-waw de joku (3s-uncle PPN dog) ‘his uncle’s dog’,,,,,184,,,Dependent-Head,,,N,,,,,,
350,nucl1632,Sentani,261,nè-waw  (3s-uncle) ‘his uncle’  (è = epsilon) (extracted from larger example); cf. nE falEm ‘his head’,,,,,185,,,Dependent-Head,,,N,,,,,,
358,suen1241,Suena,267,"pp. 15, 17",,,,,186,,,,,,N_or_Pro,,,,,,
367,tauy1241,Tauya,283,"pp. 98, 132ff.‘e nono ‘e-na aniyamo (DEM child 3s-GEN mother) ‘the child’s mother’ (98)",,,,,187,,,,FALSE,default,N_or_Pro,,,,neutral,neutral,
367,tauy1241,Tauya,282,"pp. 93, 130",,,,,188,,,Dependent-Head,TRUE,inalienable,Pro,,,,kin terms,kin,a few others
367,tauy1241,Tauya,284,,Governed,government,,TRUE,189,,,Dependent-Head,TRUE,inalienable,N,,,,body parts,parts,a few others
367,tauy1241,Tauya,284,,Governed,government,,TRUE,188,,,Dependent-Head,TRUE,inalienable,N,,,,body parts,parts,a few others
367,tauy1241,Tauya,281,"pp. 93, 130",,,,,189,,,,TRUE,alienable,N_or_Pro,,,,neutral,neutral,
368,tawa1275,Tawala,285,Peuka a wam (Peuka his boat) ‘Peuka’s boat’ (283),,,,,190,,,Dependent-Head,TRUE,alienable,N,,,,neutral,neutral,
368,tawa1275,Tawala,286,Yailo natu-na (Y. child-3s) ‘Yailo’s child’ (284),,,,,191,,,Dependent-Head,TRUE,inalienable,N_or_Pro,,,,kin terms,kin,
368,tawa1275,Tawala,286,Yailo natu-na (Y. child-3s) ‘Yailo’s child’ (284),,,,,191,,,Dependent-Head,TRUE,inalienable,N_or_Pro,,,,body parts,parts,
368,tawa1275,Tawala,286,Yailo natu-na (Y. child-3s) ‘Yailo’s child’ (284),,,,,191,,,Dependent-Head,TRUE,inalienable,N_or_Pro,,,,meronyms,parts,
368,tawa1275,Tawala,286,Yailo natu-na (Y. child-3s) ‘Yailo’s child’ (284),,,,,191,,,Dependent-Head,TRUE,inalienable,N_or_Pro,,,,quantificational,formal,
369,tehi1237,Tehit,289,,,,,,192,,,,,,N,,,,,,
369,tehi1237,Tehit,287,,,,,,193,,,,TRUE,alienable,Pro,,,,neutral,neutral,
369,tehi1237,Tehit,288,wqoit m-deit (tree F.POSS-root) ‘root of tree’ (75).  (I assume this is inalienable.),,,,,194,,,,TRUE,inalienable,N_or_Pro,,,,kin terms,kin,a few others
369,tehi1237,Tehit,288,wqoit m-deit (tree F.POSS-root) ‘root of tree’ (75).  (I assume this is inalienable.),,,,,194,,,,TRUE,inalienable,N_or_Pro,,,,body parts,parts,a few others
370,tele1256,Telefol,290,imi man imi koong (his child his pig) ‘his child’s pig’; Healey brackets:[[imi]  [man imi] koong]  (argument: cf.  e.g. tanum iyo (man he) ‘the man’),,,,,195,,,Dependent-Head,,,N_or_Pro,,,,,,
381,kuan1248,Tolai,295,"pp. 31ff., 33, 37",,,,,,,,,TRUE,alienable,N_or_Pro,,,,neutral,neutral,
381,kuan1248,Tolai,297,p. 20,,,,,197,,,,TRUE,inalienable,Pro,,,,kin terms,kin,
381,kuan1248,Tolai,297,p. 20,,,,,197,,,,TRUE,inalienable,Pro,,,,body parts,parts,
381,kuan1248,Tolai,296,p. 20,,,,,198,,,,TRUE,inalienable,N,,,,kin terms,kin,
381,kuan1248,Tolai,296,p. 20,,,,,198,,,,TRUE,inalienable,N,,,,body parts,parts,
393,usan1239,Usan,305,yonou munai (1s.[GEN] house) ‘my house’ (54)  (cf. ye ‘I’),,,,,199,,,Dependent-Head,,,Pro,,,,,,
393,usan1239,Usan,306,munon wunou bei (man his axe) ‘the man’s axe’ (55),,,,,200,,,Dependent-Head,,,N,,,,,,
395,vani1248,Vanimo,307,"tùng né (head 1s) ‘my head’,  bé èng hé (she child he) ‘his baby (girl)’    ng = velar nasal (M.R. writes with agma).",,,,,,,,,FALSE,neutral,Pro,,,,neutral,neutral,
395,vani1248,Vanimo,308,hé váyòhng bí hé   (he man house he) ‘the man’s house’; structure:  [[he vayohng] [bi he]]   oh = open “o” (M.R. writes with backwards “c”).  ng = velar nasal (M.R. writes with agma).,,,,,201,,,Dependent-Head,FALSE,neutral,N,,,,neutral,neutral,
395,vani1248,Vanimo,309,"hé éh hèng hé (he father his.M he) ‘his father’, bé háng hè hé (she mother his.F he) ‘his mother’; analysis:  [[[be [hang_he]] he].    bé èngvohng bing é bèng bé (she girl that father her.M she) ‘that girl’s father’",,,,,201,,,,TRUE,inalienable,N_or_Pro,,,,kin terms,kin,
395,vani1248,Vanimo,309,"hé éh hèng hé (he father his.M he) ‘his father’, bé háng hè hé (she mother his.F he) ‘his mother’; analysis:  [[[be [hang_he]] he].    bé èngvohng bing é bèng bé (she girl that father her.M she) ‘that girl’s father’",,,,,202,,,,TRUE,inalienable,N_or_Pro,,,,kin terms,kin,
403,wari1266,Waris,317,"pp. 43, 49",,,,,203,,,,FALSE,neutral,N_or_Pro,,,,,,
407,wask1241,Waskia,324,p. 40,,,,,204,,,,TRUE,alienable,Pro,,,,neutral,neutral,
407,wask1241,Waskia,326,kadi mu ko kawam (man the his house) ‘the man’s house’ (41),,,,,205,,,Dependent-Head,TRUE,alienable,N,,,,neutral,neutral,
