"LID","VAgreement.Presence.v2","Flexivity.Presence","FlexivityLexical.Presence","Polyexponence.Presence","FlexivityNoun.Presence","FlexivityVerb.Presence","FlexivityLexicalNoun.Presence","FlexivityLexicalVerb.Presence","PolyexponenceNoun.Presence","PolyexponenceVerb.Presence","SlotsWithZerosPost.n","SlotsWithZerosPrae.n"
98,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
100,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,
101,TRUE,,,TRUE,,,,,FALSE,FALSE,,
103,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,6
104,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
106,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,FALSE,,
107,TRUE,TRUE,FALSE,TRUE,,FALSE,,FALSE,TRUE,FALSE,,
108,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
109,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,FALSE,,
110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
111,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,6,
112,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
113,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,4,
114,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,,
116,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
118,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,
119,TRUE,,,,,,,,,,,
120,,,,FALSE,,,,,,,,
121,,,TRUE,FALSE,,,TRUE,,FALSE,,,
123,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
124,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
125,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,FALSE,,
126,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,,
127,,,,,,,,,,,,
128,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,
129,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,FALSE,FALSE,,
130,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
131,TRUE,,TRUE,FALSE,,,TRUE,,,,,
132,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,
133,FALSE,,TRUE,,,,TRUE,,,,,
134,TRUE,,,TRUE,,,,,FALSE,,,
135,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,FALSE,,,
136,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,,
137,,,,TRUE,,,,,TRUE,,,
138,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,FALSE,,
139,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,TRUE,TRUE,,
140,TRUE,FALSE,TRUE,FALSE,,,TRUE,,,,,
141,TRUE,TRUE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,,
142,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
144,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
145,TRUE,,,,,,,,,,,
146,TRUE,,TRUE,,,,TRUE,,,,,
147,TRUE,TRUE,TRUE,FALSE,,,TRUE,,,,,
148,FALSE,TRUE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,FALSE,,
149,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,FALSE,,,
150,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,,,
152,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
154,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
155,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
156,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
157,FALSE,,,,,,,,,,,
159,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,
162,FALSE,TRUE,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,
163,FALSE,,TRUE,TRUE,,,TRUE,,FALSE,,,
165,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
166,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
167,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,1
168,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
169,TRUE,TRUE,,TRUE,,,,,,,,
170,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,,
171,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
172,FALSE,,,FALSE,,,,,FALSE,,,
173,TRUE,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,,
175,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
176,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,FALSE,FALSE,,
177,TRUE,TRUE,TRUE,FALSE,,,TRUE,,,FALSE,,
178,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
179,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
180,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,,FALSE,,
181,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,FALSE,,
184,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
186,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,4,
188,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,,
191,TRUE,FALSE,TRUE,TRUE,,,TRUE,,FALSE,TRUE,,
192,TRUE,,,,,,,,,,,
193,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,,
194,,TRUE,,,,,,,,,,
196,TRUE,,,,,,,,,,,
197,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
198,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,FALSE,,
199,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
200,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
201,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,5,
202,TRUE,,,,,,,,,,,
204,,,,,,,,,,,,
205,TRUE,TRUE,FALSE,TRUE,,FALSE,,FALSE,TRUE,FALSE,,
206,TRUE,TRUE,FALSE,TRUE,,,,,,,,
207,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,,,
208,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
209,TRUE,FALSE,,FALSE,,,,,,,,
210,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,,FALSE,,,
211,TRUE,,,FALSE,,,,,FALSE,,,
212,TRUE,,TRUE,FALSE,,,TRUE,,FALSE,,,
221,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,TRUE,,
223,TRUE,,,TRUE,,,,,,TRUE,,
225,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,,
226,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
228,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
232,TRUE,,,,,,,,,,,
299,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4,4
305,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,FALSE,,
317,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
318,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,FALSE,FALSE,TRUE,,
319,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
320,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,,,
321,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
322,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,2
323,TRUE,,,FALSE,,,,,FALSE,,,
324,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,,FALSE,,
325,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,
326,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,,
327,FALSE,FALSE,FALSE,TRUE,,,,,FALSE,,,
328,TRUE,,,FALSE,,,,,,,,
329,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
331,TRUE,,TRUE,FALSE,,,TRUE,,,,,
332,TRUE,TRUE,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,4
333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
334,,,TRUE,TRUE,,,TRUE,,TRUE,,,
337,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,5
338,TRUE,FALSE,TRUE,FALSE,,,TRUE,,,,,
339,FALSE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,
342,,,,FALSE,,,,,,,,
343,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,FALSE,,,
344,TRUE,,,,,,,,,,,
345,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,
346,,,,TRUE,,,,,TRUE,,,
347,TRUE,,,TRUE,,,,,,,,
348,TRUE,,TRUE,TRUE,,,TRUE,,,,,
349,TRUE,,TRUE,TRUE,,,TRUE,,,,,
350,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
351,TRUE,,,,,,,,,,,
352,TRUE,,,,,,,,,,,
354,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,FALSE,,
355,TRUE,FALSE,FALSE,FALSE,,,,,,,,
356,TRUE,TRUE,TRUE,FALSE,,,,,,,,
357,TRUE,FALSE,FALSE,TRUE,,,,,FALSE,,,
358,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,FALSE,TRUE,,
359,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
360,,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,,,
361,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,5
362,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,
363,TRUE,,TRUE,FALSE,,,TRUE,,,FALSE,,
364,TRUE,,,,,,,,,,,
365,TRUE,FALSE,TRUE,FALSE,FALSE,,TRUE,,FALSE,,,
367,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
368,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,,
369,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
370,TRUE,,,TRUE,,,,,TRUE,,,
371,TRUE,,,,,,,,,,,
372,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
373,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,
374,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
375,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,FALSE,TRUE,,
377,TRUE,,,FALSE,,,,,,,,
378,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,
379,TRUE,,TRUE,FALSE,,,TRUE,,,,,
381,,,TRUE,TRUE,,,TRUE,,,,,
382,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
383,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,,,
384,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
385,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
386,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,,FALSE,,
387,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,
388,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,5
389,TRUE,,,,,,,,,,,
390,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
391,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
392,TRUE,,,,,,,,,,,
393,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,6
395,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,,
397,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
398,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
399,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,FALSE,,
400,TRUE,,,FALSE,,,,,FALSE,,,
401,TRUE,FALSE,,FALSE,,,,,,,,
402,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,
403,FALSE,,,FALSE,,,,,FALSE,,,
404,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,,,
405,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,,
406,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
407,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,TRUE,1,
408,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,,,
409,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,FALSE,,
411,TRUE,,,TRUE,,,,,,,,
412,TRUE,,,FALSE,,,,,,FALSE,,
413,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
414,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
415,TRUE,,,,,,,,,,,
416,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
417,TRUE,FALSE,,FALSE,,,,,,,,
418,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,,FALSE,,,
419,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
420,TRUE,TRUE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,,
421,TRUE,,,TRUE,,,,,FALSE,TRUE,,
422,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,
423,TRUE,,,,,,,,,,,
424,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,,,
426,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
428,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
429,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,1,1
432,TRUE,TRUE,TRUE,FALSE,,,,,,,,
433,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
434,FALSE,,,FALSE,,,,,,,,
435,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,,
437,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
438,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
442,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,FALSE,,
443,FALSE,FALSE,TRUE,TRUE,,,TRUE,,,,,
444,FALSE,FALSE,,FALSE,,,,,,,,
454,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
455,TRUE,,,FALSE,,,,,,,,
456,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,TRUE,TRUE,,
458,TRUE,,,,,,,,,,,
459,TRUE,,,,,,,,,,,
460,TRUE,TRUE,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,4
461,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,,FALSE,,
463,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,,
464,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,
465,TRUE,,TRUE,FALSE,,,TRUE,,FALSE,,,
466,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,FALSE,TRUE,,1
467,,,,TRUE,,,,,,,,
468,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
469,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,
470,FALSE,,,,,,,,,,,
471,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
475,TRUE,,,,,,,,,,,
476,,,,,,,,,,,,
477,,FALSE,,FALSE,,,,,,,,
480,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,2
481,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,FALSE,,
486,FALSE,FALSE,,FALSE,,,,,,,,
488,FALSE,FALSE,,FALSE,,,,,,,,
491,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
492,TRUE,,,FALSE,,,,,,,,
493,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
494,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
495,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,
496,FALSE,,,FALSE,,,,,,,,
497,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,FALSE,,,
498,TRUE,,,TRUE,,,,,,,,
499,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,
500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
501,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,,,
502,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5,
503,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,FALSE,,
504,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
505,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,
509,,FALSE,,FALSE,,,,,,,,
510,,,,,,,,,,,,
511,TRUE,,,TRUE,,,,,TRUE,,,
512,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,
514,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,FALSE,,
515,TRUE,,,TRUE,,,,,TRUE,FALSE,,
516,FALSE,FALSE,,FALSE,,,,,,,,
517,,,,,,,,,,,,
518,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,5,
519,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,
520,,FALSE,,FALSE,,,,,,,,
522,,,,,,,,,,,,
523,,,,,,,,,,,,
524,,,,,,,,,,,,
525,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,,
526,FALSE,TRUE,,FALSE,,,,,,FALSE,,
527,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
528,FALSE,TRUE,FALSE,FALSE,,TRUE,,FALSE,,FALSE,,
530,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,
531,FALSE,,,FALSE,,,,,,,,
532,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
533,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6,
534,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
